project_id,sample_id,sample_name,condition,replicate,sequencing_platform,library_type,read_type,fastq_1,fastq_2,species,genome_build,cell_type,treatment,treatment_dose,time_point,notes
H2O2_Astrocyte_2025,CONTROL_REP1,Control_Rep1,CONTROL,1,Illumina,ATAC-seq,paired-end,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/Cont_1_1.fastq.gz,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/Cont_1_2.fastq.gz,mouse,GRCm39,astrocyte,none,0,baseline,Control replicate 1
H2O2_Astrocyte_2025,CONTROL_REP2,Control_Rep2,CONTROL,2,Illumina,ATAC-seq,paired-end,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/Cont_2_1.fastq.gz,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/Cont_2_2.fastq.gz,mouse,GRCm39,astrocyte,none,0,baseline,Control replicate 2
H2O2_Astrocyte_2025,CONTROL_REP3,Control_Rep3,CONTROL,3,Illumina,ATAC-seq,paired-end,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/Cont_3_1.fastq.gz,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/Cont_3_2.fastq.gz,mouse,GRCm39,astrocyte,none,0,baseline,Control replicate 3
H2O2_Astrocyte_2025,H2O2_100uM_REP1,100uM_Rep1,100uM,1,Illumina,ATAC-seq,paired-end,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/100_1_1.fastq.gz,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/100_1_2.fastq.gz,mouse,GRCm39,astrocyte,H2O2,100uM,24h,100uM H2O2 treatment replicate 1
H2O2_Astrocyte_2025,H2O2_100uM_REP2,100uM_Rep2,100uM,2,Illumina,ATAC-seq,paired-end,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/100_2_1.fastq.gz,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/100_2_2.fastq.gz,mouse,GRCm39,astrocyte,H2O2,100uM,24h,100uM H2O2 treatment replicate 2
H2O2_Astrocyte_2025,H2O2_100uM_REP3,100uM_Rep3,100uM,3,Illumina,ATAC-seq,paired-end,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/100_3_1.fastq.gz,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/100_3_2.fastq.gz,mouse,GRCm39,astrocyte,H2O2,100uM,24h,100uM H2O2 treatment replicate 3
H2O2_Astrocyte_2025,H2O2_200uM_REP1,200uM_Rep1,200uM,1,Illumina,ATAC-seq,paired-end,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/200_1_1.fastq.gz,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/200_1_2.fastq.gz,mouse,GRCm39,astrocyte,H2O2,200uM,24h,200uM H2O2 treatment replicate 1
H2O2_Astrocyte_2025,H2O2_200uM_REP2,200uM_Rep2,200uM,2,Illumina,ATAC-seq,paired-end,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/200_2_1.fastq.gz,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/200_2_2.fastq.gz,mouse,GRCm39,astrocyte,H2O2,200uM,24h,200uM H2O2 treatment replicate 2
H2O2_Astrocyte_2025,H2O2_200uM_REP3,200uM_Rep3,200uM,3,Illumina,ATAC-seq,paired-end,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/200_3_1.fastq.gz,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/200_3_2.fastq.gz,mouse,GRCm39,astrocyte,H2O2,200uM,24h,200uM H2O2 treatment replicate 3
H2O2_Astrocyte_2025,D1_REP1,D1_Rep1,D1,1,Illumina,ATAC-seq,paired-end,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/D1_1_1.fastq.gz,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/D1_1_2.fastq.gz,mouse,GRCm39,astrocyte,time_course,0,D1,Day 1 time point replicate 1
H2O2_Astrocyte_2025,D1_REP2,D1_Rep2,D1,2,Illumina,ATAC-seq,paired-end,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/D1_2_1.fastq.gz,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/D1_2_2.fastq.gz,mouse,GRCm39,astrocyte,time_course,0,D1,Day 1 time point replicate 2
H2O2_Astrocyte_2025,D1_REP3,D1_Rep3,D1,3,Illumina,ATAC-seq,paired-end,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/D1_3_1.fastq.gz,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/D1_3_2.fastq.gz,mouse,GRCm39,astrocyte,time_course,0,D1,Day 1 time point replicate 3
H2O2_Astrocyte_2025,D3_REP1,D3_Rep1,D3,1,Illumina,ATAC-seq,paired-end,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/D3_1_1.fastq.gz,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/D3_1_2.fastq.gz,mouse,GRCm39,astrocyte,time_course,0,D3,Day 3 time point replicate 1
H2O2_Astrocyte_2025,D3_REP2,D3_Rep2,D3,2,Illumina,ATAC-seq,paired-end,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/D3_2_1.fastq.gz,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/D3_2_2.fastq.gz,mouse,GRCm39,astrocyte,time_course,0,D3,Day 3 time point replicate 2
H2O2_Astrocyte_2025,D3_REP3,D3_Rep3,D3,3,Illumina,ATAC-seq,paired-end,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/D3_3_1.fastq.gz,/home/ngs/data/ygkim/2025/H2O2_astrocyte_atac/raw/D3_3_2.fastq.gz,mouse,GRCm39,astrocyte,time_course,0,D3,Day 3 time point replicate 3
